WordEnglish;WordTranscript
Death;-P-S-R-
Ear;-L-M-KH-
Eye;-B-L-
Hand;-N-P-
I;-S-
Name;-KH-Z-
Night;-C-KH-
Nose;-P-N-C-
Sun;-M-R-
Tongue;-B-Z-
Tooth;-KH-P-C-
Two;-B-
Water;-Z-
Who;-D-
Wind;-P-SH-
You (thou);-W-
Death;-L-N-
Ear;-T-KH-K-M-
Eye;-N-
Four;-P-L-
Hand;-J-
I;-S-
Name;-C-
Night;-CH-SH-
Nose;-P-
Sun;-T-G-
Three;-SH-
Tongue;-B-Z-G-
Tooth;-C-
Two;-T-
Water;-P-S-
Who;-KH-T-
Wind;-ZH-
You (thou);-W-
Death;-M-T-
Ear;-T-
Eye;-N-T-
Four;-F-R-
Hand;-G-B-
I;-N-
Name;-M-G-
Night;-B-R-
Nose;-S-N-
Sun;-R-
Three;-S-D-H-
Tongue;-R-B-
Tooth;-M-D-N-
Two;-N-M-
Water;-L-
Who;-J-
Wind;-H-H-J-
You (thou);-S-N-
Death;-D-D-
Ear;-R-
Eye;-KH-
Four;-F-R-
Hand;-H-N-D-
I;-K-
Name;-N-M-
Night;-N-KH-
Nose;-N-S-
Sun;-S-N-
Three;-D-R-
Tongue;-T-N-G-
Tooth;-T-N-D-
Two;-T-W-
Water;-V-T-R-
Who;-V-
Wind;-V-N-D-
You (thou);-J-
Death;-R-J-
Ear;-K-S-R-
Eye;-S-K-
Four;-N-
Hand;-T-K-
I;-K-
Name;-R-
Night;-K-N-
Nose;-T-
Sun;-C-P-
Three;-R-
Tongue;-P-R-N-P-
Tooth;-N-M-K-
Two;-T-
Water;-W-K-
Who;-N-N-
Wind;-R-R-
You (thou);-N-
Death;-V-D-
Ear;-V-SH-
Eye;-S-N-
Four;-K-T-R-
Hand;-D-R-
I;-N-
Name;-M-N-
Night;-N-T-
Nose;-N-D-
Sun;-D-L-
Three;-T-R-
Tongue;-G-H-
Tooth;-D-M-B-
Two;-D-
Water;-J-
Who;-K-SH-
Wind;-R-
You (thou);-J-
Death;-V-D-
Ear;-V-SH-
Eye;-S-
Four;-K-T-R-
Hand;-D-R-
I;-N-
Name;-M-R-
Night;-N-T-
Nose;-H-N-D-
Sun;-D-L-
Three;-T-R-
Tongue;-G-H-
Tooth;-D-M-B-
Two;-D-
Water;-J-
Who;-K-SH-
Wind;-R-
You (thou);-T-
Death;-S-H-
Ear;-T-T-S-KH-
Eye;-D-KH-
Four;-S-CH-N-
Hand;-CH-KH-N-
I;-T-N-
Name;-S-KH-
Night;-M-H-
Nose;-N-S-KH-
Sun;-KH-TH-
Three;-K-N-K-N-
Tongue;-H-N-
Tooth;-K-H-S-
Two;-L-KH-
Water;-T-N-KH-
Who;-K-N-
Wind;-CH-N-L-
You (thou);-T-H-N-
Death;-L-M-
Ear;-K-L-K-
Eye;-K-S-
Four;-T-R-T-
Hand;-K-L-
I;-M-N-
Name;-D-
Night;-T-N-
Nose;-T-M-CH-K-
Sun;-K-N-
Three;-CH-
Tongue;-T-L-
Tooth;-T-SH-
Two;-K-
Water;-S-
Who;-K-M-
Wind;-S-L-K-N-
You (thou);-S-N-
Death;-M-T-
Ear;-ZH-R-
Eye;-N-
Four;-R-T-
Hand;-ZH-
I;-N-
Name;-S-M-
Night;-L-L-T-
Nose;-F-N-CH-
Sun;-C-H-J-
Three;-S-S-T-
Tongue;-M-L-S-
Tooth;-T-R-S-
Two;-H-L-T-
Water;-W-H-
Who;-M-N-
Wind;-N-F-S-
You (thou);-N-T-
Death;-M-T-
Ear;-Z-N-
Eye;-7-N-
Four;-R-B-
Hand;-J-D-
I;-N-
Name;-S-M-
Night;-L-L-
Nose;-N-F-
Sun;-SH-M-S-
Three;-TH-L-TH-
Tongue;-L-S-N-
Tooth;-S-N-
Two;-TH-N-N-
Water;-M-
Who;-M-N-
Wind;-R-H-
You (thou);-N-T-
Death;-M-TH-
Ear;-Z-N-
Eye;-J-N-
Four;-R-B-
Hand;-D-
I;-N-
Name;-SH-M-
Night;-L-L-
Nose;-N-G-R-
Sun;-SH-M-SH-
Three;-T-L-TH-
Tongue;-L-SH-N-
Tooth;-SH-N-
Two;-T-R-N-
Water;-M-J-
Who;-M-N-
Wind;-R-H-
You (thou);-T-
Death;-V-D-
Ear;-V-SH-
Eye;-S-N-
Four;-K-T-R-
Hand;-D-R-
I;-N-
Name;-M-N-
Night;-N-T-
Nose;-N-D-
Sun;-D-L-
Three;-T-R-
Tongue;-G-H-
Tooth;-L-M-B-
Two;-D-
Water;-J-T-
Who;-K-SH-
Wind;-V-R-
You (thou);-T-
Death;-M-R-N-
Ear;-K-N-
Eye;-CH-K-
Four;-CH-R-S-
Hand;-ZH-R-K-
I;-J-S-
Name;-N-N-
Night;-G-SH-R-
Nose;-K-T-
Sun;-R-V-
Three;-R-K-
Tongue;-L-Z-
Tooth;-T-M-
Two;-J-R-G-
Water;-ZH-R-
Who;-V-
Wind;-K-M-
You (thou);-D-
Death;-M-R-N-
Ear;-N-K-N-
Eye;-K-N-
Four;-CH-R-K-
Hand;-ZH-R-N-
I;-S-
Name;-N-N-
Night;-G-SH-R-
Nose;-N-CH-K-
Sun;-R-V-
Three;-R-K-
Tongue;-L-Z-W-
Tooth;-T-M-N-
Two;-R-K-
Water;-ZH-V-R-
Who;-#-
Wind;-H-L-M-
You (thou);-D-
Death;-M-R-N-
Ear;-K-N-
Eye;-CH-K-
Four;-CH-R-S-
Hand;-ZH-R-K-
I;-S-
Name;-N-N-
Night;-G-SH-R-
Nose;-K-T-
Sun;-R-V-
Three;-R-K-
Tongue;-L-Z-
Tooth;-T-M-
Two;-R-K-
Water;-ZH-R-
Who;-V-
Wind;-K-M-
You (thou);-D-
Death;-M-R-
Ear;-K-N-
Eye;-S-K-
Four;-S-R-
Hand;-H-T-
I;-M-
Name;-N-M-
Night;-R-T-
Nose;-N-K-
Sun;-KH-R-Z-
Three;-T-N-
Tongue;-Z-B-
Tooth;-D-T-
Two;-D-
Water;-P-N-
Who;-K-N-
Wind;-B-TH-
You (thou);-T-M-
Death;-M-T-
Ear;-Z-N-
Eye;-N-
Four;-R-B-
Hand;-K-T-
I;-N-K-
Name;-SH-M-
Night;-M-SH-
Nose;-P-
Sun;-SH-M-SH-
Three;-SH-L-SH-
Tongue;-L-SH-N-
Tooth;-SH-N-
Two;-SH-N-
Water;-M-
Who;-M-N-
Wind;-SH-R-
You (thou);-T-
Death;-KH-V-Z-
Ear;-KH-N-
Eye;-B-R-
Four;-N-K-
Hand;-K-V-R-
I;-D-N-
Name;-C-R-
Night;-S-R-D-
Nose;-M-KH-R-
Sun;-B-K-
Three;-L-B-G-
Tongue;-M-C-
Tooth;-C-
Two;-K-G-
Water;-L-M-
Who;-CH-V-
Wind;-G-R-
You (thou);-M-N-
Death;-M-R-T-
Ear;-G-SH-
Eye;-CH-SH-M-
Four;-CH-T-R-
Hand;-Z-S-T-
I;-Z-M-
Name;-N-M-
Night;-KH-SH-P-
Nose;-N-N-H-
Sun;-H-R-
Three;-TH-R-
Tongue;-H-Z-V-
Tooth;-D-N-T-
Two;-D-V-
Water;-P-
Who;-K-
Wind;-V-T-
You (thou);-T-
Death;-L-M-
Ear;-K-L-K-
Eye;-G-Z-
Four;-D-R-D-
Hand;-L-
I;-M-N-
Name;-D-
Night;-G-ZH-
Nose;-B-R-N-
Sun;-G-N-SH-
Three;-CH-
Tongue;-D-L-
Tooth;-D-SH-
Two;-K-
Water;-S-
Who;-K-M-
Wind;-J-L-
You (thou);-S-N-
Death;-M-R-
Ear;-G-SH-
Eye;-CH-M-
Four;-CH-R-
Hand;-D-S-T-
I;-M-N-
Name;-N-M-
Night;-SH-V-
Nose;-F-N-Z-
Sun;-R-
Three;-S-
Tongue;-Z-V-N-
Tooth;-D-TH-N-
Two;-D-
Water;-P-
Who;-K-TH-N-
Wind;-G-V-T-
You (thou);-TH-
Death;-N-M-B-
Ear;-#-
Eye;-ZH-S-
Four;-N-
Hand;-W-
I;-M-
Name;-ZH-L-
Night;-N-
Sun;-ZH-P-
Three;-#-
Tongue;-H-L-M-B-
Two;-B-
Water;-M-L-P-
Who;-N-ZH-
Wind;-M-B-B-
You (thou);-W-
Death;-L-
Ear;-K-L-K-
Eye;-G-Z-
Four;-D-R-T-
Hand;-K-L-
I;-B-N-
Name;-D-
Night;-T-N-
Nose;-T-N-
Sun;-K-J-SH-
Three;-S-
Tongue;-T-L-
Tooth;-T-SH-
Two;-K-
Water;-S-
Who;-K-M-
Wind;-L-
You (thou);-H-N-
Death;-H-L-C-
Ear;-B-L-R-
Eye;-B-G-
Four;-L-
Hand;-S-K-
I;-N-Z-
Name;-Z-N-
Night;-G-
Nose;-S-D-R-
Sun;-G-Z-K-
Three;-H-R-
Tongue;-M-H-
Tooth;-H-R-C-
Two;-B-
Water;-R-
Who;-N-R-
Wind;-H-Z-
You (thou);-D-Z-
Death;-D-D-
Ear;-#-
Eye;-G-
Four;-F-R-
Hand;-H-N-T-
I;-J-
Name;-N-M-
Night;-N-H-D-
Nose;-N-S-N-
Sun;-S-N-
Three;-D-R-
Tongue;-C-N-G-
Tooth;-C-
Two;-C-V-
Water;-V-Z-
Who;-V-
Wind;-V-N-D-
You (thou);-D-
Death;-S-M-R-C-
Ear;-V-KH-
Eye;-V-K-
Four;-CH-T-R-
Hand;-R-K-
I;-J-
Name;-M-
Night;-N-CH-
Nose;-N-S-
Sun;-S-N-C-
Three;-T-R-
Tongue;-J-Z-K-
Tooth;-Z-B-
Two;-D-V-
Water;-V-D-
Who;-KH-T-
Wind;-V-C-R-
You (thou);-T-
Death;-K-F-W-
Ear;-K-T-W-
Eye;-L-N-S-
Four;-N-
I;-N-
Name;-SH-N-
Night;-B-SH-K-
Nose;-M-N-
Sun;-K-S-B-
Three;-T-T-
Tongue;-L-L-M-
Tooth;-L-N-
Two;-B-L-
Water;-M-N-SH-
Who;-N-N-
Wind;-M-W-L-
You (thou);-W-
Death;-M-R-
Ear;-K-N-
Eye;-K-
Four;-C-R-
Hand;-H-T-
I;-M-
Name;-N-M-
Night;-R-T-
Nose;-N-K-
Sun;-S-R-ZH-
Three;-T-N-
Tongue;-ZH-B-
Tooth;-D-T-
Two;-D-
Water;-P-N-
Who;-K-
Wind;-B-
You (thou);-T-M-
Death;-M-R-B-
Ear;-K-N-
Eye;-KH-
Four;-C-R-
Hand;-H-TH-
I;-H-M-
Name;-N-M-
Night;-R-T-
Nose;-N-K-
Sun;-S-R-
Three;-T-N-
Tongue;-ZH-
Tooth;-D-T-
Two;-D-
Water;-P-N-
Who;-K-
Wind;-H-V-
You (thou);-T-
Death;-M-T-
Ear;-K-M-
Eye;-D-
Hand;-S-R-
I;-N-
Name;-S-N-K-
Night;-B-D-
Nose;-W-N-T-
Sun;-F-T-
Tongue;-L-S-
Tooth;-D-
Two;-B-D-
Water;-M-
You (thou);-K-
Death;-K-H-N-
Ear;-KH-F-
Eye;-KH-N-
Hand;-D-
I;-J-
Name;-P-N-
Night;-N-N-
Nose;-B-M-S-
Sun;-D-
Three;-M-S-T-
Tongue;-D-
Two;-R-T-
Water;-D-R-
Wind;-T-H-
You (thou);-N-
Death;-M-R-
Ear;-R-L-
Eye;-L-
Four;-K-T-R-
Hand;-M-N-
I;-#-
Name;-N-M-
Night;-N-CH-
Nose;-N-R-Z-
Sun;-S-L-
Three;-T-R-S-
Tongue;-L-N-G-
Tooth;-D-N-T-
Two;-D-S-
Water;-G-
Who;-K-M-
Wind;-V-N-T-
You (thou);-T-
Death;-M-R-
Ear;-S-K-R-N-
Eye;-L-G-D-
Four;-P-D-R-
Hand;-D-R-N-
I;-M-
Name;-H-N-
Night;-N-Z-
Nose;-F-R-
Sun;-H-L-
Three;-T-R-
Tongue;-T-D-
Tooth;-D-N-T-
Two;-D-
Water;-D-R-
Who;-P-
Wind;-G-N-T-
You (thou);-T-
